consumerid,purchaseid,graphed_date,avocado_bunch_id,reporting_year,QA process,billing_provider_sku,grocery_store_id,price_index
111013208632,51573853,1998-09-04 1:02:00,1,,,,,1
111013208632,138147692,1998-09-04 14:18:00,2,2024,IR,,,1
111013213095,48440450,1998-04-18 14:26:00,3,2024,IR,1861416786,1861416786,1
111013213095,50865030,1998-08-17 15:36:00,4,2024,IR,1457757247,1457757247,1
111013213095,51009117,1998-08-31 8:26:00,3,2024,IR,,,6
111013213095,126447118,1998-04-18 14:26:00,3,2024,IR,1861418691,1861418691,3
111013213095,131927202,1998-08-17 15:36:00,3,2024,IR,1528136843,1528136843,3
111013213095,133952887,1998-08-31 8:26:00,3,2024,IR,1912324302,1912324302,4
111013213095,134508388,1998-08-31 10:04:00,2,2024,IR,,,4
111013225659,51373062,1998-08-23 16:03:00,1,2024,IR,1871932905,1871932905,4
111013225659,51535953,1998-09-01 10:40:00,6,2024,IR,,,2
111013225659,132100867,1998-08-23 16:00:00,7,2024,IR,1598818395,1598818395,3
111013225659,132171972,1998-08-24 11:14:00,5,2024,IR,1962435677,1962435677,3
111013225659,132206736,1998-08-25 9:17:00,4,2024,IR,,,3
111013225659,132207253,1998-08-23 16:00:00,0,2024,IR,1134735962,1134735962,3
111013225659,133608027,1998-08-23 16:03:00,9,2024,IR,1528214855,1528214855,3
111013225659,133608175,1998-08-23 16:03:00,1,2024,IR,1629497870,1629497870,6
111013225659,133878927,1998-08-23 16:03:00,5,2024,IR,1053334755,1053334755,8
111013225659,137512905,1998-09-02 11:52:00,2,2024,IR,,,
111013225659,138147096,1998-09-04 9:26:00,3,2024,IR,,,8
111013235506,48928700,1998-03-29 0:00:00,4,2024,IR,1528036985,1528036985,5
111013235506,49882001,1998-05-25 0:00:00,5,2024,IR,1265879340,1265879340,4
111013235506,50765307,1998-07-16 10:39:00,5,2024,IR,1063441988,1063441988,4
111013235506,51183949,1998-09-05 23:05:00,8,2024,IR,,,3
111013235506,51262790,1998-08-16 0:00:00,7,2024,IR,1033148747,1033148747,3
111013235506,125347317,1998-03-29 0:00:00,2,2024,IR,1053334755,1053334755,3
111013235506,125754634,1998-03-29 0:00:00,2,2024,IR,,,5
111013235506,128589181,1998-05-25 0:00:00,4,2024,IR,1053334755,1053334755,3
111013235506,129002660,1998-05-25 0:00:00,5,2024,IR,,,3
111013235506,130752058,1998-07-16 10:39:00,5,2024,IR,1053334755,1053334755,5
111013235506,131859213,1998-08-16 0:00:00,2,2024,IR,1053334755,1053334755,2
111013235506,132138735,1998-08-16 0:00:00,7,2024,IR,,,3
111013238188,50349390,1998-06-20 0:00:00,8,2024,IR,1144239732,1144239732,3
111013238188,50720333,1998-07-13 0:00:00,5,2024,IR,1174751085,1174751085,3
111013238188,51081502,1998-08-04 0:00:00,3,2024,IR,1033148747,1033148747,3
111013238188,51109679,1998-08-30 5:26:00,3,2024,IR,1851754386,1851754386,2
111013238188,129800860,1998-06-20 0:00:00,5,2024,IR,1144239732,1144239732,2
111013238188,130219627,1998-06-20 0:00:00,7,2024,IR,,,4
111013238188,130221959,1998-06-20 0:00:00,4,2024,IR,1053334755,1053334755,
111013238188,130221964,1998-06-20 0:00:00,9,2024,IR,1891075925,1891075925,1
111013238188,130648533,1998-07-13 0:00:00,8,2024,IR,1053334755,1053334755,1
111013238188,130914081,1998-07-13 0:00:00,5,2024,IR,,,11
111013238188,131461103,1998-08-04 0:00:00,3,2024,IR,1053334755,1053334755,4
111013238188,131728397,1998-08-04 0:00:00,4,2024,IR,,,3
111013238188,132349297,1998-08-30 5:26:00,4,2024,IR,1174751085,1174751085,3
111013238188,133899598,1998-08-30 11:17:00,6,2024,IR,,,8
111013198531,51370542,1998-08-29 18:18:00,8,2024,IR,1407274459,1407274459,
111013198531,51483753,1998-09-01 10:23:00,9,2024,IR,,,6
111013198531,132341123,1998-08-29 18:18:00,9,2024,IR,,,8
111013198531,135714308,1998-09-01 10:23:00,9,2024,IR,,,7
111013198531,138139311,1998-09-01 22:00:00,9,2024,IR,,,6
,,,,,,,,5
